Parity bench over synthetic_smoke.pcap: 4 flows x 24 features

 # feature              rule         result
-------------------------------------------
 0 flow_duration        time/R1      PASS
 1 tot_fwd_pkts         count/exact  PASS
 2 tot_bwd_pkts         count/exact  PASS
 3 totlen_fwd_pkts      payload/R2   PASS
 4 totlen_bwd_pkts      payload/R2   PASS
 5 fwd_pkt_len_min      payload/R2   PASS
 6 fwd_pkt_len_mean     payload/R2   PASS
 7 fwd_pkt_len_std      payload/R2   PASS
 8 fwd_pkt_len_max      payload/R2   PASS
 9 bwd_pkt_len_min      payload/R2   PASS
10 bwd_pkt_len_mean     payload/R2   PASS
11 bwd_pkt_len_std      payload/R2   PASS
12 bwd_pkt_len_max      payload/R2   PASS
13 pkt_len_mean         payload/R2   PASS
14 pkt_len_std          payload/R2   PASS
15 flow_iat_mean        time/R1      PASS
16 flow_iat_std         time/R1      PASS
17 flow_iat_max         time/R1      PASS
18 flow_iat_min         time/R1      PASS
19 fwd_iat_mean         time/R1      PASS
20 bwd_iat_mean         time/R1      PASS
21 flow_pkts_s          rate         PASS
22 flow_byts_s          payload/R2   PASS
23 fwd_act_data_pkts    count/exact  PASS

24/24 features match ground truth on all 4 flows.

All 24 features reach parity. Phase 0 exit criterion met.
